word,reason,index
成長是一个漫長的過程，需要不斷來試驗佮積累。,無用例,1
熱鬧,無用例,4
伊甘願放棄一切，換來心內的平靜。,無用例,5
請莫隨意烏白寫，愛斟酌檢查。,無用例,6
快速,無用例,7
這个房間傷過垃圾，需要來清理一回。,無用例,8
這領衫價數袂俗，非常貴。,無用例,9
伊非常勤勞，總是骨力做工課。,無用例,12
平安是上基本的向望，希望你一切順利。,無用例,14
安全意識非常重要，愛遵守交通規則。,無用例,16
佇公共場所應保持正常音量。,無用例,18
請老實回答問題，莫掖白賊。,無用例,19
這隻狗仔非常可愛，予人一看就想欲飼。,無用例,20
伊一直追求理想的生活，骨力拍拚。,無用例,22
專業咧知影講每一步，伊佇醫療領域號甲聲。,無用例,23
這个所在危險極矣，請細膩行。,無用例,24
雖然伊和爸爸生做一模一樣，但是伊的性格煞有夠無仝款的。,無用例,26
多管閒事,無用例,28
這領車走足緊，速度非常緊。,無用例,30
惡化,無用例,31
請佇普通時間內完成任務。,無用例,32
咱愛珍惜每一分每一秒，莫浪費時間。,無用例,33
長久,無用例,35
原來這个所在是電影節的舉辦地，莫怪遮遮爾仔鬧熱。,無用例,36
好奇,無用例,37
浪費,無用例,38
勤儉是福氣的根，愛節約用水用電。,無用例,39
勤勞,無用例,40
這段友誼有長喔！,無用例,41
很貴,無用例,45
我足好奇為啥物伊欲辭職，這對伊來講敢若無啥要緊。,無用例,47
這領衫是定製的，合身自然就袂違。,無用例,49
公平是正義的基礎，愛按照正義的原則來行事。,無用例,50
合身,無用例,51
正確的行為會當幫助人建立良好關係。,無用例,54
咱照計畫進行，按呢會當保證工課的進度。,無用例,55
雖然犯錯是人所難免的，但是正確面對錯誤並無改正是足重要的。,無用例,63
伊刁故意遲到，予我足受氣的。,無用例,65
伊非常敏感，容易受著外界情緒的影響。,無用例,66
你一定愛認真完成這項任務，按呢才會當取得好成績。,無用例,67
正宗道地的,無用例,69
為著保護環境，伊總是拍拚做環保的代誌。,無用例,70
這个人非常特別，佮眾不同。,無用例,72
強勢,無用例,73
這个所在非常的鬧熱，人來來去去。,無用例,74
這个網站請求量非常緊，幾秒鐘內便完成矣。,無用例,75
按部就班,無用例,76
這份工課傷過厚工，予得完成起來非常的困難。,無用例,77
伊最近的壓力傷重啦，身體健康狀況惡化。,無用例,81
你若是有閒的，不妨來佮我練習拍球。,無用例,83
伊總是關心別人的代誌，就算講佮別人的代誌無關係。,無用例,85
剛好、湊巧,無用例,86
共同努力才會當取得成功。,無用例,88
湊好勢，咱兩个總是佇咧這个所在搪著。,無用例,89
伊佇公司內面聲望非常懸，影響力真強。,無用例,91
伊刁工共我鑢的筆，我都無發脾氣。,無用例,92
拄好下昏暗我無代誌，所以願意佮你一同去。,無用例,94
伊雖然經歷真濟不幸的代誌，猶毋過伊從來無喪失希望。,無用例,98
這出菜是正宗道地的味道。,無用例,99
最近阮有幾个新員工加入，愛好好仔歡迎。,無用例,103
你干焦按呢骨力拍拚，才會當取得成功。,無用例,104
敏感,無用例,105
這个商店的所有物件攏足俗的全，全部攏俗。,無用例,107
很快,無用例,109
骯髒,無用例,110
這場演講非常精彩，予聽眾聽甲入迷。,無用例,112
伊最近身體狀況誠嚴重的，需要好好仔歇睏。,無用例,113
